Dreambrute
Soilmirage
Cavepod
The Bewitched Gnoll
The Skeletal Statue
The Eternal Blob
The Malevolent Spite Cobra
The Aquatic Spite Dragon
The Monstrous Terror Cobra
Aurawings
Embermask
Banecrackle
Slagboy
Tangleteeth
The Anguished Thing
The Living Lich
The Giant Being
The Patriarch Vampire Dog
The Iron-Scaled Cave Lizard
The Tattooed Mocking Lion
Vortexwing
Glowvine
Flamestep
Germfigure
The Lean Miscreation
The Ancient Deviation
The Icy Hybrid
The Red-Eyed Horror Dog
The Tattooed Army Ape
The Ruthless Dawn Wolf
Trancehound
Boneface
Murksnare
Abyssling
The Angry Child
The Undead Dweller
The Dead Gnoll
The Ivory Skeleton Hawk
The Savage Predator Scorpion
The Lone Mountain Bear
Frighthound
Auravine
Caverndeviation
Helltooth
The Filthy Critter
The Grumpy Demon
The Arid Statue
The Mad Slayer Alligator
The Crowned Nightmare Boar
The Stormcloud Hunting Scorpion
Duskcat
Blazefigure
Venomfang
Bouldermorph
The Gray Mutant
The Wild Corpse
The Aged Statue
The Primitive Corpse Spider
The Silver-Striped Sun Hyena
The Jade Torment Lizard
Thornbeast
Rottingmask
Vortexspawn
Terrortaur
The Parallel Dweller
The Hungry Bulge
The Thin Troglodyte
The Malevolent Grieve Snake
The Crowned Dawn Lynx
The Malevolent Dire Cat
Terrible Doom Dolphin
Wolf Walker
Mighty Slaughter Killer
Skyocean Bane
Cosmic Ghost
Mammoth Caster
Pseudo Herd Whale
Water Mouther
Rat Jaguar
Tome Weird
Sand Person
Sword Freezer
Strangler-burner
Cerebral Song Masher
Cadaverous Angel
Omen Monster
Hag Sulker
Cat Cloaker
Behemoth Goat
Swarm Shatterer
Statuechild Battler
Fogwind
Were Person
Ancestral Subjugator-blinder
Tiger Choker
Lunar Acid Hangman
Shadowy Stealer-custodian
Swan Celestial
Desecrated Mare
Swarmshift Dweller
Mammoth Caster
Grotesque Plant
Pup Stealer
Yeti Drowner
Swimmer-hangman
Droolbloom
Devouring Squid
Icetooth
Shark Herder
Stoneweed Centaur
Astral Centipede
Canyon Mammoth
Water Mouther
Rainbow Yeti
Wild Disenchanter-cremator
Flickerarc Succubus
Twisted Wonder
Shadow Cricket
Rope Piercer
Bird Gas
Killing Mongrel
Brine Squirrel
Revenant Shredder
Eternal Child Barracuda
Cerebral Forester-wonder
Saintly Coffer Executioner
Were Person
Ruby Kitten
Twister Bug
Monster Crawler
Weird-attacker
Choking Glove
Sacred Crusher-regulator
Putrid Crawler
Gashorn Forester
Mouldering Terror
Change Sprite
Shredder-eater
Firey Weird
Perfect Vision Beholder
Hill Soaker
Forgotten Cobra
Brutal Badger
Lesser Charmer-weird
Cold Scorpion
Fungus Tangler
Hand Cow
Killer Creamator
Brain-displacer
Knightbane
Damned Beholder-soaker
Infernal Bolt Vagabond
Bloody Pup
Illusionary Tearer-flayer
Unthinkable Faerie
Radiant Soaker-charge
Flaming Mouth
Rot Slicer
Hacker-cone
Tireless Monster-tracker
Hypnotizer-hacker
Sparkmountain Person
Illusionary Blaster
Diamond Golem
Crimson Roc
Boltscum
Rust Coffin Gorgon
Hypnotizer-man
Eternal Carver-murderer
Returned Burner-tracker
