Closed Bamboo Pub
Wise Beaver
General Stars Tavern
Faded Pony
Gorgeous Fly Pub
Unarmed Cheetah Pub
Timid Papaya
Stormy Pie
Careful Grasshopper Inn
Weak Butterflies
Fascinating Corn
Rotten Whisper
Minor Goat Bar
Keen Piano Inn
Sour Knight Pub
Wise Eagles Inn
Glistening Lord Tavern
Mature Rope Pub
Foamy Tavern
Limping Sharks Pub
Better Chain Pub
Dwarvish Hag Pub
Filthy Ukulele
Icky Dragonfruit
Narrow Snake Tavern
Spotted Zebra Inn
Thin Shrub Inn
Delirious Armadillo
Annoying Cashew
Twin Hornet Pub
Thin Loaf Tavern
Heavy Leg Inn
Grey Loch Pub
Eager Cave Tavern
Unusual Angels
Copper Loaf
Frozen Pillow
Wet Giraffe
Harsh Bats Bar
Stately Tuba Bar
Tired Beavers Bar
Round Princess Bar
Short Guinea Pig Inn
Ye Olde Hill Bar
White Rabbit Inn
Glistening Trombone Bar
Lucky Tavern
Ugliest Turkey Bar
Rebellious Raccoon
Jealous Guard Bar
Windy Frog
Private Cinnamon Tavern
Deserted Pike Pub
Obnoxious Head Tavern
Scattered Lavender
Gigantic Otter Bar
Venomous Lions Pub
Foamy Arm Tavern
Latino Butterfly Bar
Spectacular Avocado Pub
